Trial,calltype,rms,maxAmp,meanS,stdS,skewS,kurtS,entS,q1,q2,q3,meanT,stdT,skewT,kurtT,entT
echolocation,echo,13.04417,12.1515,43910.8,10090.44,-0.50525,2.45713,0.913674,37687.5,45562.5,53062.5,0.373577,0.215757,0.007696,1.801928,0.999885
echolocation,echo,13.40724,13.68032,42320.17,11053.05,-0.42784,2.197976,0.923965,35250,44250,52312.5,0.247408,0.14445,0.029352,1.788578,0.999469
echolocation,echo,71.85511,47.29159,32787.89,9143.637,0.437939,2.351801,0.887756,24562.5,32250,39750,0.261801,0.141786,-0.15516,1.802478,0.970431
echolocation,echo,62.368,47.22822,29491.62,8214.893,0.961782,3.335512,0.856454,23062.5,26437.5,36000,0.242795,0.133633,0.013986,1.954777,0.971479
echolocation,echo,13.7158,15.64477,41662.58,11556.88,-0.39596,2.071301,0.925768,33937.5,43687.5,52125,0.250231,0.145163,0.017909,1.794238,0.999255
echolocation,echo,13.39957,13.8059,42755.82,11015.09,-0.49531,2.277413,0.919933,36000,44812.5,52687.5,0.248395,0.143997,0.004065,1.823133,0.999711
echolocation,echo,14.21303,17.53847,40744.76,11444.61,-0.19937,1.874332,0.926364,31500,42375,51375,0.251085,0.143004,-0.01556,1.828533,0.999213
echolocation,echo,17.6722,22.99793,38557.99,10768.01,0.087749,1.995103,0.925752,29250,39000,47250,0.254174,0.142166,-0.03812,1.836938,0.996983
echolocation,echo,17.92526,23.02301,38742.2,10822.5,0.073495,1.978248,0.926489,29437.5,39000,47812.5,0.244223,0.144289,0.047912,1.780777,0.997125
echolocation,echo,20.02827,27.41747,38179.74,10337.98,0.086371,2.241179,0.920521,30750,38250,45562.5,0.24678,0.140281,0.009501,1.917112,0.995857
echolocation,echo,19.59726,26.08592,36993.31,11275.5,0.256698,1.895535,0.921817,26812.5,37125,46500,0.249364,0.139189,0.016271,1.91797,0.995467
